"TaxonToothtype","Epoch","CBL","CBW","CBR","CHR","DC","DDL","CH"
"Suchomimus lateral","Middle Cretaceous",13.4,9.7,0.723880597014925,2.93283582089552,25,0.2,39.3
"Suchomimus lateral","Middle Cretaceous",14.5,9.5,0.655172413793103,2.57241379310345,32.5,0.153846153846154,37.3
"Suchomimus lateral","Middle Cretaceous",12.8,9.8,0.765625,3.0078125,35,0.142857142857143,38.5
"Suchomimus lateral","Middle Cretaceous",17.2,11.6,0.674418604651163,2.25581395348837,32.5,0.153846153846154,38.8
"Suchomimus lateral","Middle Cretaceous",9,8.3,0.922222222222222,2.02222222222222,30,0.166666666666667,18.2
"Suchomimus lateral","Middle Cretaceous",19.9,15,0.753768844221106,2.39195979899498,25,0.2,47.6
"Suchomimus lateral","Middle Cretaceous",18.9,15.2,0.804232804232804,3.33015873015873,27.5,0.181818181818182,62.94
"Suchomimus lateral","Middle Cretaceous",20.8,18.1,0.870192307692308,2.7375,27,0.185185185185185,56.94
"Suchomimus lateral","Middle Cretaceous",18.7,13.3,0.711229946524064,2.81604278074866,35,0.142857142857143,52.66
"Suchomimus lateral","Middle Cretaceous",19.2,14.4,0.75,2.83020833333333,29,0.172413793103448,54.34
"Sinraptor","Late Jurassic",24.39,12.3,0.504305043050431,2.43706437064371,10,0.5,59.44
"Sinraptor","Late Jurassic",26.63,10.14,0.380773563650019,2.3819001126549,10,0.5,63.43
"Sinraptor","Late Jurassic",26.74,10.22,0.382198952879581,2.24644727000748,10,0.5,60.07
"Sinraptor","Late Jurassic",26.83,8.88,0.330972791651137,2.08497950055908,11.5,0.434782608695652,55.94
"Sinraptor","Late Jurassic",14.76,6.68,0.452574525745257,1.46476964769648,15,0.333333333333333,21.62
"Sinraptor","Late Jurassic",21.13,8.23,0.38949361097965,1.75153809749172,11.5,0.434782608695652,37.01
"Sinraptor","Late Jurassic",19,9.6,0.505263157894737,2.13421052631579,10.5,0.476190476190476,40.55
"Sinraptor","Late Jurassic",19.58,9.48,0.484167517875383,1.96220633299285,11.5,0.434782608695652,38.42
"Sinraptor","Late Jurassic",15.33,10.2,0.665362035225049,2.10632746249185,11,0.454545454545455,32.29
"Sinraptor","Late Jurassic",17.08,11.36,0.665105386416862,2.2248243559719,11,0.454545454545455,38
"Sinraptor","Late Jurassic",19.89,10.54,0.52991452991453,2.0095525389643,11,0.454545454545455,39.97
"Allosaurus mesial","Late Jurassic",12.46,6,0.481540930979133,2.29935794542536,10,0.5,28.65
