"Taxa (Genus)","Epoch","Log_CBL","Log_CBW","Log_CH","Log_CBR","Log_CHR","Log_DC"
"Genyodectes","Middle Cretaceous",1.43949059038968,0.961421094066448,1.7052648623174,-0.478069496323235,0.265774271927721,1.09691001300806
"Genyodectes","Middle Cretaceous",1.23552844690755,1.05307844348342,1.63998424804159,-0.182450003424129,0.40445580113404,1.04139268515823
"Genyodectes","Middle Cretaceous",1.14113609012074,0.956648579205203,1.45863784902565,-0.184487510915536,0.31750175890491,1.13033376849501
"Genyodectes","Middle Cretaceous",1.22036963245139,1.04960561259497,1.53567380342575,-0.170764019856421,0.315304170974356,1.11394335230684
"Genyodectes","Middle Cretaceous",1.33203427702752,1.09933527768596,1.66294661433262,-0.23269899934156,0.330912337305107,1.06069784035361
"Genyodectes","Middle Cretaceous",1.27600198996205,1.02407498730743,1.57772152450902,-0.251927002654624,0.301719534546971,1.11394335230684
"Genyodectes","Middle Cretaceous",1.29907126002741,1.01367969729119,1.6200318951263,-0.285391562736217,0.320960635098888,1.07918124604762
"Ceratosaurus","Late Jurassic",1.27875360095283,0.812913356642856,1.54157924394658,-0.465840244309973,0.262825642993752,1.11394335230684
"Ceratosaurus","Late Jurassic",1.26481782300954,0.863322860120456,1.5092025223311,-0.401494962889081,0.244384699321566,1.12483014941386
"Ceratosaurus","Late Jurassic",1.2405492482826,0.944482672150169,1.53907609879278,-0.296066576132431,0.298526850510177,1.06069784035361
"Ceratosaurus","Late Jurassic",1.17609125905568,0.903089986991944,1.45178643552429,-0.273001272063738,0.275695176468609,1.09691001300806
"Ceratosaurus","Late Jurassic",1.47755533219898,1.05766610390983,1.79567150594602,-0.419889228289152,0.318116173747041,0.954242509439325
"Ceratosaurus","Late Jurassic",1.43964842956347,0.989004615698537,1.77786162417624,-0.450643813864937,0.338213194612768,1.01410032151962
"Ceratosaurus","Late Jurassic",1.38381536598043,1.16226561429802,1.53186194909581,-0.22154975168241,0.148046583115378,0.903089986991944
"Ceratosaurus","Late Jurassic",1.34869419026554,1.24204423936955,1.60411800619203,-0.10664995089599,0.255423815926494,0.929418925714293
