"TaxonToothtype","Epoch","Log_CBL","Log_CBW","Log_CBR","Log_CHR","Log_DC","Log_DDL","Log_CH"
"Tyrannosaurus lateral","Late Cretaceous",3.8155121050473,3.55534806148941,-0.260164043557889,0.604412252629588,2.30258509299405,-0.693147180559945,4.41992435767689
"Tyrannosaurus lateral","Late Cretaceous",3.73766961828337,3.41772668361337,-0.319942934670002,0.530067869988386,2.19722457733622,-0.587786664902119,4.26773748827175
"Tyrannosaurus lateral","Late Cretaceous",3.72086249996699,3.51154543883102,-0.209317061135966,0.568911775001808,2.30258509299405,-0.693147180559945,4.28977427496879
"Tyrannosaurus lateral","Late Cretaceous",3.3603753871419,2.94443897916644,-0.41593640797546,0.516227673054985,2.56494935746154,-0.955511445027436,3.87660306019689
"Tyrannosaurus lateral","Late Cretaceous",2.94968833505258,2.63905732961526,-0.310631005437326,0.346888997479469,2.63905732961526,-1.02961941718116,3.29657733253205
"Bambiraptor lateral","Late Cretaceous",0.904218150639886,0.350656871613169,-0.553561279026717,0.872427680778121,3.2188758248682,-1.6094379124341,1.77664583141801
"Bambiraptor lateral","Late Cretaceous",1.01884732019925,0.19062035960865,-0.828226960590597,0.696750788063244,3.40119738166216,-1.79175946922805,1.71559810826249
"Bambiraptor lateral","Late Cretaceous",0.940007258491471,0.246860077931526,-0.693147180559945,0.784543461043134,3.40119738166216,-1.79175946922805,1.72455071953461
"Bambiraptor lateral","Late Cretaceous",1.04731899428056,0.285178942233662,-0.762140052046897,0.765875755667561,3.2188758248682,-1.6094379124341,1.81319474994812
"Bambiraptor lateral","Late Cretaceous",1.19392246847243,0.385262400790645,-0.80866006768179,0.667052069777093,3.18635263316264,-1.57691472072854,1.86097453824953
"Bambiraptor lateral","Late Cretaceous",0.970778917158225,0.285178942233662,-0.685599974924562,0.856990989592863,3.48124008933569,-1.87180217690159,1.82776990675109
"Bambiraptor lateral","Late Cretaceous",0.86288995514704,0.343589704390077,-0.519300250756963,0.810461283030713,3.2188758248682,-1.6094379124341,1.67335123817775
"Bambiraptor lateral","Late Cretaceous",0.85015092936961,0.343589704390077,-0.506561224979533,0.761284985727163,3.2188758248682,-1.6094379124341,1.61143591509677
"Bambiraptor lateral","Late Cretaceous",0.86288995514704,0.476234178996372,-0.386655776150668,0.728383986659389,3.40119738166216,-1.79175946922805,1.59127394180643
"Bambiraptor lateral","Late Cretaceous",0.904218150639886,0.215111379616945,-0.68910677102294,0.814970625753334,3.40119738166216,-1.79175946922805,1.71918877639322
"Bambiraptor lateral","Late Cretaceous",0.959350221334602,0.343589704390077,-0.615760516944525,0.830741190792756,3.2188758248682,-1.6094379124341,1.79009141212736
"Bambiraptor lateral","Late Cretaceous",0.854415328156068,0.182321556793955,-0.672093771362113,0.913734275432854,3.18635263316264,-1.57691472072854,1.76814960358892
"Bambiraptor lateral","Late Cretaceous",0.932164081030445,-0.0100503358535015,-0.942214416883947,0.598230624063202,3.48124008933569,-1.87180217690159,1.53039470509365
"Bambiraptor lateral","Late Cretaceous",1.16938135955632,0.314810739840034,-0.854570619716283,0.564042532658775,3.16547504814109,-1.55603713570699,1.73342389221509
"Deinonychus lateral","Middle Cretaceous",1.95444505150515,1.16315080980568,-0.79129424169947,0.391199530949342,2.82137888640921,-1.21194097397511,2.34564458245449
"Deinonychus lateral","Middle Cretaceous",1.89911798754855,1.10525683138678,-0.793861156161776,0.391394524211222,2.86220088092947,-1.25276296849537,2.29051251175978
"Deinonychus lateral","Middle Cretaceous",1.98100146886658,1.21787570949493,-0.763125759371656,0.423237277853962,2.78809290877575,-1.17865499634165,2.40423874672055
"Deinonychus lateral","Middle Cretaceous",1.95444505150515,1.06125650212434,-0.89318854938081,0.329976070861224,2.93119375241642,-1.32175583998232,2.28442112236637
"Deinonychus lateral","Middle Cretaceous",1.59736533119983,0.920282753143692,-0.677082578056139,0.232011001599531,2.93119375241642,-1.32175583998232,1.82937633279936
"Deinonychus lateral","Middle Cretaceous",2.22786154679811,1.18172719537862,-1.04613435141949,0.42889535991655,2.60268968544438,-0.993251773010283,2.65675690671466
"Deinonychus lateral","Middle Cretaceous",1.9823798288367,1.41342302850814,-0.568956800328561,0.772553958164356,2.78809290877575,-1.17865499634165,2.75493378700106
"Deinonychus lateral","Middle Cretaceous",2.17928687664955,1.37624402526639,-0.803042851383163,0.547257907088822,2.7408400239252,-1.1314021114911,2.72654478373837
"Deinonychus lateral","Middle Cretaceous",1.94017947434633,1.07158361628019,-0.868595858066138,0.340160009700398,2.95282477254271,-1.34338686010861,2.28033948404673
"Deinonychus lateral","Middle Cretaceous",2.28645571106416,1.56861591791385,-0.717839793150317,0.647932932248777,2.77258872223978,-1.16315080980568,2.93438864331294
"Deinonychus lateral","Middle Cretaceous",2.10900034392138,1.45628673293993,-0.652713610981455,0.519284888711967,2.76190687389292,-1.15246896145882,2.62828523263335
"Deinonychus lateral","Middle Cretaceous",2.06686275947298,1.47932922708708,-0.587533532385896,0.606595996859615,2.86220088092947,-1.25276296849537,2.67345875633259
"Deinonychus lateral","Middle Cretaceous",2.21266038546606,1.47932922708708,-0.733331158378979,0.505999994748167,2.95282477254271,-1.34338686010861,2.71866038021423
"Deinonychus lateral","Middle Cretaceous",1.95586047990848,1.16315080980568,-0.7927096701028,0.35370022682199,2.86220088092947,-1.25276296849537,2.30956070673047
"Deinonychus lateral","Middle Cretaceous",1.91102289005487,1.07500242302898,-0.836020467025897,0.346564837008437,2.79116510781272,-1.18172719537862,2.25758772706331
