"CladeToothtype","Epoch","CBL","CBW","CBR","CHR","DC","DDL","CH"
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",19.91,10.32,0.518332496233049,2.0939226519337,12,0.416666666666667,41.69
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",19,6.5,0.342105263157895,1.83157894736842,13,0.384615384615385,34.8
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",18.4,7.3,0.396739130434783,1.7554347826087,13.33,0.375093773443361,32.3
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",17.4,8.8,0.505747126436782,1.98850574712644,11.5,0.434782608695652,34.6
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",15,8,0.533333333333333,1.88666666666667,12.5,0.4,28.3
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",30.03,11.42,0.38028638028638,2.08025308025308,9,0.555555555555556,62.47
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",27.52,9.75,0.354287790697674,2.17877906976744,10.33,0.484027105517909,59.96
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",24.2,14.53,0.600413223140496,1.40619834710744,8,0.625,34.03
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",22.32,17.46,0.782258064516129,1.80062724014337,8.5,0.588235294117647,40.19
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",23.5,14.33,0.609787234042553,1.87617021276596,8.33,0.600240096038415,44.09
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",19.73,14.21,0.72022301064369,1.82108464267613,8.33,0.600240096038415,35.93
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",21.96,14.47,0.658925318761384,1.86247723132969,8,0.625,40.9
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",31.11,13.27,0.426550948248152,2.13629058180649,11.25,0.444444444444444,66.46
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",33.8,11.95,0.353550295857988,2.15502958579882,11,0.454545454545455,72.84
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",27.46,8.68,0.316096139839767,1.97123088128186,11,0.454545454545455,54.13
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",20.98,9.73,0.463775023832221,1.97426120114395,11.66,0.428816466552316,41.42
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",18.61,14.28,0.76732939279957,1.73347662547018,10,0.5,32.26
