"CladeToothtype","Epoch","Log_CBL","Log_CBW","Log_CBR","Log_CHR","Log_DC","Log_DDL","Log_CH"
"Non-averostran Neotheropoda Lateral","Late Triassic",1.20896034583698,0.62057648772511,-0.588383858111865,-0.0150378773645406,3.68887945411394,-2.07944154167984,1.19392246847243
"Non-averostran Neotheropoda Lateral","Late Triassic",1.26412672714568,-0.0725706928348354,-1.33669741998052,-0.0257524961024146,3.68887945411394,-2.07944154167984,1.23837423104327
"Non-averostran Neotheropoda Lateral","Late Triassic",1.18172719537862,-0.150822889734584,-1.3325500851132,0.153273871353724,3.68887945411394,-2.07944154167984,1.33500106673234
"Non-averostran Neotheropoda Lateral","Late Triassic",0.955511445027436,-0.0512932943875506,-1.00680473941499,0.946596081369484,3.80666248977032,-2.19722457733622,1.90210752639692
"Non-averostran Neotheropoda Lateral","Late Triassic",1.1314021114911,0.451075619360217,-0.680326492130884,0.693147180559945,3.68887945411394,-2.07944154167984,1.82454929205105
"Non-averostran Neotheropoda Lateral","Early Jurassic",2.79300390698237,2.28949985344539,-0.503504053536983,0.411772993506325,2.70805020110221,-1.09861228866811,3.2047769004887
"Non-averostran Neotheropoda Lateral","Early Jurassic",2.79422789734326,2.32238772029023,-0.471840177053037,0.537976612831941,2.63905732961526,-1.02961941718116,3.3322045101752
"Non-averostran Neotheropoda Lateral","Early Jurassic",2.95021175825218,2.34180580614733,-0.608405952104855,0.611970042815797,2.70805020110221,-1.09861228866811,3.56218180106798
"Non-averostran Neotheropoda Lateral","Early Jurassic",2.85243910372751,2.31648799816304,-0.535951105564477,0.392494255459976,2.63905732961526,-1.02961941718116,3.24493335918749
"Non-averostran Neotheropoda Lateral","Late Triassic",1.89009536994892,0.916290731874155,-0.973804638074762,0.288059644666952,2.99573227355399,-1.38629436111989,2.17815501461587
"Non-averostran Neotheropoda Lateral","Late Triassic",2.006870848845,1.09861228866811,-0.908258560176891,0.321381990897623,3.2188758248682,-1.6094379124341,2.32825283974262
"Non-averostran Neotheropoda Lateral","Late Triassic",2.12106321637066,1.25276296849537,-0.868300247875287,0.233165109775229,2.99573227355399,-1.38629436111989,2.35422832614588
"Non-averostran Neotheropoda Lateral","Late Triassic",1.76644166124377,1.09861228866811,-0.667829372575655,0.412845215405787,3.2188758248682,-1.6094379124341,2.17928687664955
"Non-averostran Neotheropoda Lateral","Late Triassic",1.89160480419777,0.916290731874155,-0.975314072323616,0.526983964552581,3.40119738166216,-1.79175946922805,2.41858876875035
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",3.13679771383259,2.46300181439995,-0.673795899432644,0.963174317773006,2.4423470353692,-0.832909122935104,4.10330430359357
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",3.31454957493648,2.21375387928743,-1.10079569564905,0.611967876642115,2.52572864430826,-0.916290731874155,3.9265174515786
"Non-abelisauroid Ceratosauria Mesial","Middle Cretaceous",2.84490938381941,2.42480272571829,-0.420106658101112,0.931293898466204,2.39789527279837,-0.78845736036427,3.77620328228561
"Non-abelisauroid Ceratosauria Mesial","Middle Cretaceous",2.62756295018952,2.20276475771183,-0.424798192477689,0.731074817053836,2.60268968544438,-0.993251773010283,3.35863776724336
"Non-abelisauroid Ceratosauria Mesial","Middle Cretaceous",2.8100049236252,2.41680623708407,-0.393198686541135,0.726014683844397,2.56494935746154,-0.955511445027436,3.5360196074696
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",3.06712226964066,2.53131302260216,-0.535809247038508,0.761953814966556,2.4423470353692,-0.832909122935104,3.82907608460722
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",2.93810316071735,2.35801979988215,-0.580083360835208,0.694734902512957,2.56494935746154,-0.955511445027436,3.63283806323031
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",2.9912221180761,2.33408376005342,-0.657138358022688,0.7390391738166,2.484906649788,-0.8754687373539,3.73026129189271
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",2.94443897916644,1.87180217690159,-1.07263680226485,0.605178407613988,2.56494935746154,-0.955511445027436,3.54961738678043
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",2.91235066461494,1.98787434815435,-0.924476316460594,0.562716565613671,2.59001713419062,-0.980579221756517,3.47506723022861
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",2.85647020622048,2.17475172148416,-0.681718484736322,0.687383475843195,2.4423470353692,-0.832909122935104,3.54385368206368
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",2.70805020110221,2.07944154167984,-0.628608659422374,0.634811603546982,2.52572864430826,-0.916290731874155,3.34286180464919
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.40219688199524,2.43536620422786,-0.966830677767375,0.73248955951024,2.19722457733622,-0.587786664902119,4.13468644150548
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.31491301306514,2.27726728500976,-1.03764572805539,0.778764660169254,2.33505228313155,-0.725614370697447,4.0936776732344
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.18635263316264,2.67621547758219,-0.510137155580449,0.340889855350174,2.07944154167984,-0.470003629245736,3.52724248851281
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.10548313751311,2.85991255041146,-0.245570587101654,0.588135070947999,2.14006616349627,-0.53062825106217,3.69361820846111
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.15700042115011,2.66235524184008,-0.494645179310033,0.629232578219733,2.11986345617875,-0.510425543744651,3.78623299936985
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",2.98214032003452,2.65394594210901,-0.328194377925515,0.599432281090903,2.11986345617875,-0.510425543744651,3.58157260112543
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.08922261664133,2.67207754064339,-0.417145075997937,0.621907446407426,2.07944154167984,-0.470003629245736,3.71113006304876
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.43752931090955,2.58550584834412,-0.852023462565429,0.759070952016903,2.42036812865043,-0.810930216216329,4.19660026292645
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.52046080248897,2.48073127837752,-1.03972952411145,0.767804452370434,2.39789527279837,-0.78845736036427,4.28826525485941
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.31273040033983,2.16102152867226,-1.15170887166757,0.678658160469062,2.39789527279837,-0.78845736036427,3.99138856080889
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.04356960296815,2.27521389619791,-0.768355706770237,0.680194252999287,2.45616418092235,-0.846726268488246,3.72376385596744
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",2.92369907065416,2.65885995691144,-0.264839113742721,0.550129002042903,2.30258509299405,-0.693147180559945,3.47382807269706
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.09058780456667,2.22028985026722,-0.870297954299454,0.57706801309564,2.484906649788,-0.8754687373539,3.66765581766231
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",2.86903462050803,1.99877363861238,-0.870260981895652,0.541783004531112,2.45616418092235,-0.846726268488246,3.41081762503915
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.25269737334371,2.69395127672271,-0.558746096621003,0.201408663973846,2.07944154167984,-0.470003629245736,3.45410603731756
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.13549421592915,2.82197394742052,-0.313520268508626,0.599552919029794,2.07944154167984,-0.470003629245736,3.73504713495894
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.17971910966701,2.70001802940495,-0.479701080262061,0.549822326165819,2.19722457733622,-0.587786664902119,3.72954143583283
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.00864849882054,2.66095859356836,-0.347689905252178,0.646932669891884,2.07944154167984,-0.470003629245736,3.65558116871242
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic",3.11971825333498,2.63188884013665,-0.487829413198336,0.560372694745875,1.94591014905531,-0.336472236621213,3.68009094808086
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.23750128899137,2.71469474382088,-0.522806545170487,0.70057925075607,2.19722457733622,-0.587786664902119,3.93808053974744
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.3881121421135,2.55567572067621,-0.832436421437292,0.734333850219476,2.30258509299405,-0.693147180559945,4.12244599233298
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.49499126094852,2.63905732961526,-0.855933931333258,0.822496852587794,2.39789527279837,-0.78845736036427,4.31748811353631
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.31491301306514,2.35422832614588,-0.960684686919259,0.643611826014423,2.484906649788,-0.8754687373539,3.95852483907957
"Non-abelisauroid Ceratosauria Lateral","Late Jurassic",3.03447210186992,2.21046980408624,-0.824002297783682,0.606004613015847,2.35137525716348,-0.741937344729377,3.64047671488577
"Non-abelisauroid Ceratosauria Mesial","Late Jurassic - Early Cretaceous",1.86717610851281,1.66581824587021,-0.201357862642601,0.852143684847632,2.63905732961526,-1.02961941718116,2.71931979336044
"Non-abelisauroid Ceratosauria Lateral","Early Jurassic",2.87919845729804,1.85629799036563,-1.02290046693241,0.595868772930571,2.70805020110221,-1.09861228866811,3.47506723022861
"Non-abelisauroid Ceratosauria Lateral","Early Jurassic",2.92316158071916,2.2082744135228,-0.714887167196351,0.809734758811555,2.60268968544438,-0.993251773010283,3.73289633953071
"Noasauridae Lateral","Late Cretaceous",1.13462272619114,0.609765571620894,-0.524857154570248,0.0683495778012096,2.99573227355399,-1.38629436111989,1.20297230399235
"Noasauridae Lateral","Late Cretaceous",1.11185751541813,0.593326845277734,-0.518530670140396,0.493572375618431,3.2188758248682,-1.6094379124341,1.60542989103656
"Noasauridae Lateral","Late Cretaceous",1.05082162483176,0.712949807856125,-0.337871816975636,0.778554707967601,3.68887945411394,-2.07944154167984,1.82937633279936
"Noasauridae Lateral","Late Cretaceous",1.11185751541813,0.615185639090233,-0.496671876327897,0.448390152825198,3.68887945411394,-2.07944154167984,1.56024766824333
"Noasauridae Lateral","Late Cretaceous",1.62136648329937,0.712949807856125,-0.908416675443249,0.543105307565037,2.90853906185161,-1.29910114941751,2.16447179086441
"Noasauridae Lateral","Late Cretaceous",0.879626747502564,0.254642218373581,-0.624984529128983,0.64207225062353,3.68887945411394,-2.07944154167984,1.52169899812609
"Noasauridae Lateral","Late Cretaceous",1.83577635464483,1.14422279992016,-0.691553554724667,0.596959422814262,2.70805020110221,-1.09861228866811,2.43273577745909
"Noasauridae Lateral","Late Cretaceous",1.01523067972906,0.314810739840034,-0.700419939889025,0.452643668383255,3.55534806148941,-1.94591014905531,1.46787434811231
"Noasauridae Lateral","Late Cretaceous",1.53471436623816,0.896088024556636,-0.638626341681528,0.936769263217696,2.70805020110221,-1.09861228866811,2.47148362945586
"Noasauridae Lateral","Late Cretaceous",1.66770682055808,0.824175442966349,-0.843531377591727,0.272472653788252,3.2188758248682,-1.6094379124341,1.94017947434633
"Noasauridae Lateral","Late Cretaceous",1.81645208181843,1.10525683138678,-0.711195250431648,0.840304824896233,3.11351530921037,-1.50407739677627,2.65675690671466
"Noasauridae Lateral","Late Cretaceous",1.95868534054404,1.24703229378638,-0.711653046757653,0.386959241910456,2.91777073208428,-1.30833281965018,2.34564458245449
"Noasauridae Lateral","Late Cretaceous",1.53039470509365,0.916290731874155,-0.614103973219492,0.924052737209644,2.70805020110221,-1.09861228866811,2.45444744230329
"Noasauridae Lateral","Late Cretaceous",1.59736533119983,0.883767540168595,-0.713597791031236,0.55206858230004,2.99573227355399,-1.38629436111989,2.14943391349987
"Noasauridae Lateral","Late Cretaceous",1.59736533119983,0.883767540168595,-0.713597791031236,0.31955728098223,2.99573227355399,-1.38629436111989,1.91692261218206
"Noasauridae Lateral","Late Cretaceous",1.69927861643389,0.797507195884188,-0.901771420549702,0.4822681481831,2.81540871942271,-1.20597080698861,2.18154676461699
"Noasauridae Lateral","Late Cretaceous",1.63899671467564,1.10856261952128,0.53062825106217,-0.916290731874155,2.70805020110221,-1.09861228866811,2.59076704048748
"Abelisauridae Lateral","Late Cretaceous",2.71535677628465,2.17361471169709,-0.541742064587563,0.839419693305808,2.484906649788,-0.8754687373539,3.55477646959046
"Abelisauridae Lateral","Late Cretaceous",2.98669152890184,2.25654115449264,-0.730150374409203,0.849961169501527,2.52572864430826,-0.916290731874155,3.83665269840337
"Abelisauridae Mesial","Late Cretaceous",2.20937271127187,1.72455071953461,-0.484821991737262,0.442459809832115,2.484906649788,-0.8754687373539,2.65183252110398
"Abelisauridae Mesial","Late Cretaceous",2.44927947214485,1.92861865194525,-0.520660820199597,0.669112814145029,2.30258509299405,-0.693147180559945,3.11839228628988
"Abelisauridae Mesial","Late Cretaceous",2.21920348405499,1.57069708411767,-0.648506399937325,0.197602753029074,2.30258509299405,-0.693147180559945,2.41680623708407
"Abelisauridae Lateral","Late Cretaceous",2.97297528643137,2.23857976301813,-0.734395523413241,0.216677679759923,2.30258509299405,-0.693147180559945,3.1896529661913
"Abelisauridae Lateral","Late Cretaceous",2.83673654206353,2.28442112236637,-0.552315419697158,0.344645078377087,2.56494935746154,-0.955511445027436,3.18138162044062
"Abelisauridae Lateral","Middle Cretaceous",2.45358796653057,1.51732262352629,-0.936265343004278,0.128899011596291,2.484906649788,-0.8754687373539,2.58248697812686
"Abelisauridae Mesial","Late Cretaceous",2.55722731136763,2.55722731136763,0,0.438504962186364,1.8961194845523,-0.286681572118197,2.99573227355399
"Abelisauridae Mesial","Late Cretaceous",2.77258872223978,2.58021682959233,-0.192371892647456,0.628608659422374,2.19722457733622,-0.587786664902119,3.40119738166216
"Abelisauridae Mesial","Late Cretaceous",2.77258872223978,2.30258509299405,-0.470003629245736,0.523248143764548,2.30258509299405,-0.693147180559945,3.29583686600433
"Abelisauridae Mesial","Late Cretaceous",2.8094026953625,2.58776403522771,-0.22163866013479,0.561335478814949,2.14006616349627,-0.53062825106217,3.37073817417745
"Abelisauridae Lateral","Late Cretaceous",2.96887481938411,2.2082744135228,-0.760600405861304,0.412119854960528,2.484906649788,-0.8754687373539,3.38099467434464
"Abelisauridae Mesial","Late Cretaceous",2.85070650150373,2.56417983068251,-0.286526670821225,0.44141978510406,2.39789527279837,-0.78845736036427,3.29212628660779
"Abelisauridae Mesial","Late Cretaceous",2.77196352684586,2.48156774852249,-0.290395778323377,0.68938777763604,2.30258509299405,-0.693147180559945,3.4613513044819
"Abelisauridae Mesial","Late Cretaceous",3.02529107579554,2.66025953726586,-0.365031538529674,0.761168706657265,2.07944154167984,-0.470003629245736,3.7864597824528
"Abelisauridae Lateral","Late Cretaceous",2.94443897916644,2.30258509299405,-0.641853886172395,0.719122666963206,2.30258509299405,-0.693147180559945,3.66356164612965
"Abelisauridae Mesial","Late Cretaceous",2.49815187653802,2.39242579699384,-0.105726079544186,0.479416426388299,2.14006616349627,-0.53062825106217,2.97756830292632
"Abelisauridae Mesial","Late Cretaceous",2.70871664564537,2.52172062291072,-0.186996022734654,0.618116320727922,2.14006616349627,-0.53062825106217,3.32683296637329
"Abelisauridae Mesial","Late Cretaceous",2.72785282839839,2.17361471169709,-0.554238116701304,0.44393138893596,2.01490302054226,-0.405465108108164,3.17178421733435
"Abelisauridae Mesial","Late Cretaceous",2.70136121295141,2.11866225483312,-0.582698958118296,0.758105076834718,2.07944154167984,-0.470003629245736,3.45946628978613
"Abelisauridae Lateral","Late Cretaceous",2.88647528761704,2.21484617868604,-0.671629108931002,0.622379968751624,2.2512917986065,-0.641853886172395,3.50885525636867
"Abelisauridae Lateral","Late Cretaceous",2.89756802476676,2.23964529322017,-0.657922731546588,0.660063142737223,2.19722457733622,-0.587786664902119,3.55763116750398
"Abelisauridae Lateral","Late Cretaceous",2.92852352386054,2.12823170584927,-0.800291818011273,0.504818311128182,2.07944154167984,-0.470003629245736,3.43334183498872
"Abelisauridae Lateral","Late Cretaceous",2.91614779421115,2.18605127673809,-0.730096517473054,0.635192245880726,2.14006616349627,-0.53062825106217,3.55134004009187
"Abelisauridae Mesial","Late Cretaceous",2.14710019015365,1.99333884262642,-0.153761347527227,0.547526990616419,2.14006616349627,-0.53062825106217,2.69462718077007
"Abelisauridae Lateral","Late Cretaceous",2.57261223020711,2.18717424148272,-0.385437988724388,0.728396424199617,2.2512917986065,-0.641853886172395,3.30100865440672
"Abelisauridae Lateral","Late Cretaceous",2.63188884013665,2.02551319965428,-0.606375640482366,0.56269429216251,2.30258509299405,-0.693147180559945,3.19458313229916
"Abelisauridae Lateral","Late Cretaceous",2.53051716104005,1.91250108692418,-0.618016074115869,0.511621485328094,2.30258509299405,-0.693147180559945,3.04213864636815
"Abelisauridae Lateral","Late Cretaceous",2.50715725872282,1.86408013080768,-0.643077127915139,0.480542843133907,2.30258509299405,-0.693147180559945,2.98770010185673
"Abelisauridae Lateral","Late Cretaceous",2.46214966266538,1.79009141212736,-0.672058250538026,0.432656692298646,2.36273901581379,-0.753301103379692,2.89480635496403
"Abelisauridae Lateral","Late Cretaceous",2.44147709186066,1.7732559976635,-0.668221094197169,0.48007028350395,2.42036812865043,-0.810930216216329,2.92154737536461
"Abelisauridae Lateral","Late Cretaceous",2.37861977927004,2.10657020906809,-0.272049570201955,0.752953717195361,2.07944154167984,-0.470003629245736,3.1315734964654
"Abelisauridae Lateral","Late Cretaceous",2.56648663678042,2.12584791449399,-0.440638722286431,0.562902021586241,2.19722457733622,-0.587786664902119,3.12938865836666
"Abelisauridae Lateral","Late Cretaceous",2.68307421503203,2.06051353179432,-0.622560683237716,0.453723498800561,2.19722457733622,-0.587786664902119,3.13679771383259
"Abelisauridae Lateral","Late Cretaceous",2.65464942437509,2.06305806242931,-0.591591361945783,0.414797887001177,2.2512917986065,-0.641853886172395,3.06944731137627
"Abelisauridae Lateral","Late Cretaceous",2.61520365073586,2.05668455455722,-0.558519096178638,0.603272094111003,2.30258509299405,-0.693147180559945,3.21847574484686
"Abelisauridae Lateral","Late Cretaceous",2.56186769092413,2.13416644136908,-0.427701249555046,0.639658495608959,2.30258509299405,-0.693147180559945,3.20152618653309
"Abelisauridae Lateral","Late Cretaceous",2.55100645149252,1.93730177451871,-0.613704676973811,0.573998157765606,2.35137525716348,-0.741937344729377,3.12500460925813
"Abelisauridae Lateral","Late Cretaceous",2.40423874672055,1.80335860507141,-0.600880141649139,0.528553727059571,2.45616418092235,-0.846726268488246,2.93279247378012
"Abelisauridae Mesial","Late Cretaceous",2.56417983068251,2.24707238306379,-0.3147107448397,0.841567185678219,2.484906649788,-0.8754687373539,3.40485734249364
"Abelisauridae Mesial","Late Cretaceous",2.51850259921652,2.22570404865809,-0.287682072451781,0.779324876800998,2.30258509299405,-0.693147180559945,3.29768700529249
"Abelisauridae Mesial","Late Cretaceous",2.52652832447882,2.11625551480255,-0.415515443961666,0.792992515529661,2.39789527279837,-0.78845736036427,3.32107133718287
"Abelisauridae Mesial","Late Cretaceous",2.49155119250667,2.40604380136228,-0.083381608939051,0.959350221334602,2.19722457733622,-0.587786664902119,3.45062226498968
"Abelisauridae Mesial","Late Cretaceous",2.69530262827971,2.46129678414887,-0.23572233352107,0.783901543828409,2.14006616349627,-0.53062825106217,3.47754094824949
"Abelisauridae Mesial","Late Cretaceous",2.68102152871429,2.21156569460688,-0.462035459596559,0.774727167552368,2.28238238567653,-0.672944473242426,3.45568556694622
"Abelisauridae Lateral","Late Cretaceous",2.90690105984738,2.1540850846756,-0.755022584278033,0.703097511413113,2.19722457733622,-0.587786664902119,3.60821155104648
"Abelisauridae Lateral","Late Cretaceous",2.91071889922703,2.22028985026722,-0.693147180559945,0.727548607277278,2.19722457733622,-0.587786664902119,3.63968920992316
"Abelisauridae Lateral","Late Cretaceous",2.88981604796244,2.13888900032326,-0.755022584278033,0.512823626428664,2.01490302054226,-0.405465108108164,3.40119738166216
"Abelisauridae Lateral","Late Cretaceous",2.94074796522123,2.18154676461699,-0.755022584278033,0.631271776841858,2.30258509299405,-0.693147180559945,3.57065882272651
"Abelisauridae Lateral","Late Cretaceous",2.89977188240808,2.2082744135228,-0.693147180559945,0.756121979721334,2.19722457733622,-0.587786664902119,3.65532267058509
"Abelisauridae Lateral","Late Cretaceous",2.79361608943186,1.87793716546911,-0.916290731874155,0.587786664902119,2.2512917986065,-0.641853886172395,3.37963320374631
"Abelisauridae Lateral","Late Cretaceous",2.06432790386979,1.24415459395877,-0.82098055206983,0.457424847038875,2.63905732961526,-1.02961941718116,2.52172062291072
"Abelisauridae Mesial","Late Cretaceous",2.17588743994809,1.97408102602201,-0.198450938723838,0.815364813284194,2.19722457733622,-0.587786664902119,2.98971420122843
"Abelisauridae Lateral","Late Cretaceous",2.58776403522771,2.14710019015365,-0.446287102628419,0.647103242058538,2.2512917986065,-0.641853886172395,3.23356737361119
"Abelisauridae Lateral","Late Cretaceous",2.65605490598383,2.04381436403668,-0.616186139423817,0.56531380905006,2.39789527279837,-0.78845736036427,3.2240623515555
"Abelisauridae Lateral","Late Cretaceous",2.53844741671603,1.96290772542388,-0.579818495252942,0.451075619360217,2.30258509299405,-0.693147180559945,2.9922261342247
"Abelisauridae Lateral","Late Cretaceous",2.52812576890798,1.90061387414014,-0.63487827243597,0.425267735404344,2.39789527279837,-0.78845736036427,2.95543097678047
"Abelisauridae Lateral","Late Cretaceous",2.507971922719,1.90210752639692,-0.59783700075562,0.378436435720245,2.39789527279837,-0.78845736036427,2.88312332917134
"Abelisauridae Lateral","Late Cretaceous",2.46129678414887,1.83896107071235,-0.616186139423817,0.322083499169113,2.39789527279837,-0.78845736036427,2.78439376768954
"Abelisauridae Lateral","Late Cretaceous",2.23323501485925,1.67896397508271,-0.562118918153541,0.438254930931155,2.39789527279837,-0.78845736036427,2.67276838695757
"Abelisauridae Mesial","Late Cretaceous",2.38967979984498,2.13771044980381,-0.2484613592985,0.741937344729377,2.14006616349627,-0.53062825106217,3.1302631665116
"Abelisauridae Mesial","Late Cretaceous",2.6049094421827,2.1126345090356,-0.49429632181478,0.524728528934982,2.19722457733622,-0.587786664902119,3.12982600803469
"Abelisauridae Lateral","Late Cretaceous",2.63188884013665,2.04122032885964,-0.562118918153541,0.548121408509688,2.30258509299405,-0.693147180559945,3.18138162044062
"Abelisauridae Lateral","Late Cretaceous",2.60268968544438,2.05027016437956,-0.544727175441672,0.647103242058538,2.39789527279837,-0.78845736036427,3.24843462710975
"Abelisauridae Lateral","Late Cretaceous",2.55100645149252,2.15059873599616,-0.400477566597125,0.615185639090233,2.30258509299405,-0.693147180559945,3.16800349449444
"Abelisauridae Lateral","Late Cretaceous",2.57794151575519,1.95302761682418,-0.616186139423817,0.559615787935423,2.2512917986065,-0.641853886172395,3.13549421592915
"Abelisauridae Lateral","Late Cretaceous",2.42125662271154,1.7561322915849,-0.673344553263766,0.506817602368452,2.484906649788,-0.8754687373539,2.930126516456
"Abelisauridae Lateral","Late Cretaceous",2.55567572067621,1.65822807660353,-0.891598119283784,0.371563556432483,2.484906649788,-0.8754687373539,2.929058140286
"Abelisauridae Lateral","Late Cretaceous",2.82731362192903,2.15986879079245,-0.673344553263766,0.802001585472027,2.23001440015921,-0.62057648772511,3.62780160460535
"Abelisauridae Lateral","Late Cretaceous",2.83907846350861,2.17588743994809,-0.653926467406664,0.717839793150317,2.30258509299405,-0.693147180559945,3.55563373496657
"Abelisauridae Mesial","Late Cretaceous",2.88926002904347,2.42391737816157,-0.465342650881904,0.704484229955423,2.70805020110221,-1.09861228866811,3.5937442589989
