"Clade","Epoch","CBL","CBW","CH","CBR","CHR","DC"
"Carcharodontosauridae","Middle Cretaceous",39.91,14.49,73.99,0.363066900526184,1.8539213229767,8.2
"Carcharodontosauridae","Middle Cretaceous",41.53,15.09,80.68,0.363351793883939,1.94269202985793,10
"Carcharodontosauridae","Middle Cretaceous",46.65,16.88,97.55,0.361843515541265,2.09110396570204,9
"Carcharodontosauridae","Middle Cretaceous",40.6,17.1,72,0.421182266009852,1.77339901477832,8.5
"Carcharodontosauridae","Middle Cretaceous",41.4,16.6,73,0.400966183574879,1.76328502415459,9.5
"Carcharodontosauridae","Middle Cretaceous",41.1,15.5,69,0.37712895377129,1.67883211678832,9
"Carcharodontosauridae","Middle Cretaceous",40.4,15.9,80.9,0.393564356435644,2.00247524752475,10
"Carcharodontosauridae","Middle Cretaceous",45.1,16.8,102.6,0.372505543237251,2.27494456762749,8.5
"Carcharodontosauridae","Middle Cretaceous",43.8,22.6,85,0.515981735159817,1.94063926940639,10.5
"Carcharodontosauridae","Middle Cretaceous",30.1,19.3,60.6,0.641196013289037,2.01328903654485,11.5
"Carcharodontosauridae","Middle Cretaceous",32.1,18.2,67.4,0.566978193146417,2.09968847352025,14
"Carcharodontosauridae","Middle Cretaceous",43.32,23.51,99.25,0.542705447830102,2.29108956602031,8
"Carcharodontosauridae","Middle Cretaceous",31.23,14.42,57.22,0.461735510726865,1.83221261607429,10.5
"Carcharodontosauridae","Middle Cretaceous",26.69,13.63,42.01,0.510678156612964,1.57399775196703,11
"Carcharodontosauridae","Middle Cretaceous",33.82,22.83,81.62,0.675044352454169,2.4133648728563,9.5
"Carcharodontosauridae","Middle Cretaceous",37.3,20.32,79.26,0.544772117962466,2.12493297587131,9.5
"Carcharodontosauridae","Middle Cretaceous",37.83,21.07,96.02,0.556965371398361,2.53819719799101,8.5
"Carcharodontosauridae","Middle Cretaceous",30.86,19.37,70.36,0.627673363577447,2.2799740764744,10
"Carcharodontosauridae","Middle Cretaceous",34.92,14.6,72.6,0.418098510882016,2.07903780068728,10
"Carcharodontosauridae","Middle Cretaceous",33.24,21.56,70.16,0.648616125150421,2.11070998796631,9
"Carcharodontosauridae","Middle Cretaceous",27.75,11.77,45.5,0.4241,1.63963963963964,10
"Carcharodontosauridae","Middle Cretaceous",21.48,17.31,42.74,0.805865921787709,1.98975791433892,11.5
"Carcharodontosauridae","Middle Cretaceous",32.6,17.11,74.01,0.524846625766871,2.27024539877301,12.5
"Carcharodontosauridae","Middle Cretaceous",28.93,15.39,55.1,0.531973729692361,1.90459730383685,12
"Carcharodontosauridae","Middle Cretaceous",23.92,13.23,40.32,0.55309364548495,1.68561872909699,13
"Carcharodontosauridae","Middle Cretaceous",19.77,8.6,22.6,0.435002529084471,1.14314618108245,12
"Basal Coelurosauria","Late Jurassic",2.96,2.41,6.8,0.814189189189189,2.2972972972973,0
"Basal Coelurosauria","Late Jurassic",2.61,1.65,4.84,0.632183908045977,1.8544061302682,0
"Basal Coelurosauria","Late Jurassic",3.53,1.85,6.53,0.524079320113314,1.84985835694051,50
"Basal Coelurosauria","Late Jurassic",2.52,1.44,3.86,0.571428571428571,1.53174603174603,0
"Basal Coelurosauria","Late Jurassic",2.14,1.23,3.12,0.574766355140187,1.45794392523364,0
"Basal Coelurosauria","Late Jurassic",2.48,1.99,5,0.80241935483871,2.01612903225806,0
"Basal Coelurosauria","Late Jurassic",2.93,2.06,5.63,0.703071672354949,1.92150170648464,0
"Basal Coelurosauria","Late Jurassic",2.52,1.54,4.49,0.611111111111111,1.78174603174603,60
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",6.9,3.5,12.8,0.507246376811594,1.85507246376812,22.5
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",6.7,3.3,12.6,0.492537313432836,1.88059701492537,26.25
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",6.7,3.4,12.2,0.507462686567164,1.82089552238806,25
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",6.4,3.3,11.2,0.515625,1.75,25
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",3.5,2.9,6.5,0.828571428571429,1.85714285714286,26.25
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",4.4,3.1,9,0.704545454545454,2.04545454545455,26.25
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",5.4,3.4,9.3,0.62962962962963,1.72222222222222,26.25
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",5.4,3.5,11,0.648148148148148,2.03703703703704,26.25
"Non-tyrannosaurid Tyrannosauroidea","Middle Jurassic",5.6,3.4,10.2,0.607142857142857,1.82142857142857,26.25
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",4.54,5.65,8.9,1.24449339207048,1.96035242290749,13.33
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",6.82,5.04,12.19,0.73900293255132,1.78739002932551,13
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",9.34,4.92,17.58,0.526766595289079,1.88222698072805,16.25
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",8.84,4.81,15.31,0.544117647058823,1.73190045248869,16.66
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",8.74,3.97,12.3,0.454233409610984,1.40732265446224,20
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",1.38,1.75,4.77,1.26811594202899,3.45652173913043,33
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",3.78,1.79,7,0.473544973544974,1.85185185185185,27.5
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",2.88,1.33,4.82,0.461805555555556,1.67361111111111,27.5
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",2.64,1.88,5.19,0.712121212121212,1.96590909090909,28.75
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",2.68,2.16,7.3,0.805970149253731,2.72388059701493,27.5
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",3.53,2.36,7.26,0.668555240793201,2.05665722379603,27.5
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",3.3,1.74,6.05,0.527272727272727,1.83333333333333,26
"Non-tyrannosaurid Tyrannosauroidea","Late Jurassic",2.8,1.39,5.8,0.496428571428571,2.07142857142857,25
