"Epoch","Taxa (Genus)","CBL","CBW","CH","CBR","CHR","DDL"
"Late Cretaceous","Majungasaurus",12.99,9.46,30.11,0.73,2.32,0.416666666666667
"Late Cretaceous","Majungasaurus",12.41,9.26,27.05,0.75,2.18,0.5
"Late Cretaceous","Majungasaurus",12.51,8.3,27.69,0.66,2.21,0.454545454545455
"Late Cretaceous","Majungasaurus",12.08,11.09,31.52,0.92,2.61,0.555555555555556
"Late Cretaceous","Majungasaurus",14.81,11.72,32.38,0.79,2.19,0.588235294117647
"Late Cretaceous","Majungasaurus",14.6,9.13,31.68,0.63,2.17,0.510204081632653
"Late Cretaceous","Majungasaurus",18.3,8.62,36.9,0.47,2.02,0.555555555555556
"Late Cretaceous","Majungasaurus",18.37,9.21,38.08,0.5,2.07,0.555555555555556
"Late Cretaceous","Majungasaurus",17.99,8.49,30,0.47,1.67,0.666666666666667
"Late Cretaceous","Majungasaurus",18.93,8.86,35.54,0.47,1.88,0.5
"Late Cretaceous","Majungasaurus",18.17,9.1,38.68,0.5,2.13,0.555555555555556
"Late Cretaceous","Majungasaurus",16.34,6.54,29.36,0.4,1.8,0.526315789473684
"Late Cretaceous","Majungasaurus",7.88,3.47,12.45,0.44,1.58,0.357142857142857
"Late Cretaceous","Majungasaurus",8.81,7.2,19.88,0.82,2.26,0.555555555555556
"Late Cretaceous","Majungasaurus",13.3,8.56,25.37,0.64,1.91,0.526315789473684
"Late Cretaceous","Majungasaurus",14.24,7.72,25.13,0.54,1.76,0.454545454545455
"Late Cretaceous","Majungasaurus",12.66,7.12,19.93,0.56,1.57,0.5
"Late Cretaceous","Majungasaurus",12.53,6.69,19.21,0.53,1.53,0.454545454545455
"Late Cretaceous","Majungasaurus",12.28,6.7,17.87,0.55,1.46,0.454545454545455
"Late Cretaceous","Majungasaurus",11.72,6.29,16.19,0.54,1.38,0.454545454545455
"Late Cretaceous","Majungasaurus",9.33,5.36,14.48,0.57,1.55,0.454545454545455
"Late Cretaceous","Majungasaurus",10.91,8.48,22.88,0.78,2.1,0.588235294117647
"Late Cretaceous","Majungasaurus",13.53,8.27,22.87,0.61,1.69,0.555555555555556
"Late Cretaceous","Majungasaurus",13.9,7.7,24.08,0.57,1.73,0.5
"Late Cretaceous","Majungasaurus",13.5,7.77,25.75,0.58,1.91,0.454545454545455
"Late Cretaceous","Majungasaurus",12.82,8.59,23.76,0.67,1.85,0.5
"Late Cretaceous","Majungasaurus",13.17,7.05,23,0.54,1.75,0.526315789473684
"Late Cretaceous","Majungasaurus",11.26,5.79,18.73,0.51,1.66,0.416666666666667
"Late Cretaceous","Majungasaurus",12.88,5.25,18.71,0.41,1.45,0.416666666666667
"Late Cretaceous","Majungasaurus",16.9,8.67,37.63,0.51,2.23,0.537634408602151
"Late Cretaceous","Majungasaurus",17.1,8.81,35.01,0.52,2.05,0.5
"Late Cretaceous","Abelisauridae",10.95,4.6,19.25,0.420091324200913,1.75799086757991,0.434782608695652
"Late Cretaceous","Abelisauridae",10.5,4.18,19.55,0.398095238095238,1.86190476190476,0.380952380952381
"Late Cretaceous","Abelisauridae",13.43,7.25,34.27,0.539836187639613,2.55174981384959,0.444444444444444
"Late Cretaceous","Abelisauridae",15.36,7.35,24.67,0.478515625,1.60611979166667,0.5
"Late Cretaceous","Abelisauridae",11.4,6.1,22,0.535087719298246,1.92982456140351,0.384615384615385
"Late Cretaceous","Abelisauridae",13.01,6.69,16.63,0.514219830899308,1.2782475019216,0.384615384615385
"Late Cretaceous","Abelisauridae",16.5,8.4,33.3,0.509090909090909,2.01818181818182,0.357142857142857
"Middle Cretaceous","Abelisauridae",10.95,4.6,19.25,0.420091324200913,1.75799086757991,0.434782608695652
"Middle Cretaceous","Abelisauridae",10.5,4.18,19.55,0.398095238095238,1.86190476190476,0.380952380952381
"Middle Cretaceous","Abelisauridae",13.43,7.25,34.27,0.539836187639613,2.55174981384959,0.444444444444444
"Middle Cretaceous","Abelisauridae",15.36,7.35,24.67,0.478515625,1.60611979166667,0.5
"Middle Cretaceous","Abelisauridae",11.4,6.1,22,0.535087719298246,1.92982456140351,0.384615384615385
"Middle Cretaceous","Abelisauridae",13.01,6.69,16.63,0.514219830899308,1.2782475019216,0.384615384615385
"Middle Cretaceous","Abelisauridae",16.5,8.4,33.3,0.509090909090909,2.01818181818182,0.357142857142857
"Middle Jurassic","Monolophosaurus",15.36,11.01,33.7,0.716796875,2.19401041666667,0.285714285714286
"Middle Jurassic","Monolophosaurus",19.36,9.89,41.51,0.510847107438017,2.14411157024793,0.3125
"Middle Jurassic","Monolophosaurus",15.95,5.76,17.71,0.361128526645768,1.11034482758621,0.333333333333333
"Middle Jurassic","Monolophosaurus",13.66,6.17,25.05,0.451683748169839,2.08199121522694,0.285714285714286
"Middle Jurassic","Monolophosaurus",13.07,7.13,20.83,0.545524100994644,1.59372609028309,0.277777777777778
"Middle Jurassic","Monolophosaurus",10.72,6.66,20.71,0.621268656716418,1.93,0.285714285714286
"Middle Jurassic","Monolophosaurus",12.01,6.58,21.58,0.547876769358868,1.79683597002498,0.285714285714286
"Middle Jurassic","Monolophosaurus",12.31,5.66,19.85,0.45978878960195,1.61251015434606,0.3125
"Middle Jurassic","Monolophosaurus",12.93,4.94,21.1,0.382057231245166,1.63186388244393,0.25
"Middle Jurassic","Monolophosaurus",9.86,5.45,16.88,0.552738336713996,1.71196754563895,0.260960334029228
"Late Jurassic","Torvosaurus",42.43,21.09,105.28,0.497053971246759,2.48126325712939,0.714285714285714
"Late Jurassic","Torvosaurus",40.44,21.54,101.98,0.532640949554896,2.5217606330366,0.666666666666667
"Late Jurassic","Torvosaurus",45.52,16.4,106.4,0.360281195079086,2.33743409490334,0.625
"Late Jurassic","Torvosaurus",24.81,13.74,43.53,0.553808948004837,1.75453446191052,0.526315789473684
"Late Jurassic","Torvosaurus",31.2,20.2,85.8,0.647435897435897,2.75,0.625
"Late Jurassic","Torvosaurus",32.2,15.8,61.1,0.490683229813665,1.89751552795031,0.625
"Late Jurassic","Torvosaurus",47.99,22.89,141.52,0.48,2.95,1
"Late Jurassic","Torvosaurus",25.35,12.62,62.29,0.5,2.46,0.666666666666667
"Late Jurassic","Torvosaurus",30.65,17.55,79.79,0.57,2.6,0.833333333333333
"Late Jurassic","Torvosaurus",22.68,15.15,57.21,0.67,2.52,0.625
"Late Jurassic","Torvosaurus",26.31,12.02,57.2,0.46,2.17,0.5
"Late Jurassic","Torvosaurus",36.27,16.93,91.72,0.47,2.53,0.833333333333333
"Late Jurassic","Torvosaurus",23.23,13.75,52.25,0.59,2.25,0.625
"Late Jurassic","Torvosaurus",25.11,14.17,65.5,0.56,2.61,0.625
"Late Jurassic","Torvosaurus",33.69,20.4,93.87,0.61,2.79,0.588235294117647
